nome,anno,codice_stato_cup,costo_lavori_previsto,cup,fonte_finanziamento,lat,lon,tipo,nome_completo
LINTERVENTO PREVEDE UNA MODIFICA SOSTANZIALE DEL SISTEMA DI ILLUMINAZIONE ATTA AD OTTENERE LA RIQUALIFICAZIONE ENERGETICA DELLIMPIANTO E LA SUA MESSA A NORMA. ATTUALMENTE LA RET,2015,ATTIVO,1945491.29,B33G15000050005,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
ADEGUAMENTO ALLE NORME VIGENTI DEGLI EDIFICI SCOLASTICI ANCHE AL FINE DI OTTENERE LE NECESSARIE CERTIFICAZIONI.,2015,ATTIVO,1550000.00,B34H15002060006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"IL CATTIVO STATO DI CONSERVAZIONE DEGLI SPAZI E DELLE STRUTTURE E LA LORO INCOMPLETA DOTAZIONE, LIMITA FORTEMENTE LATTIVITÀ DEGLI SPORT GIÀ AFFERMATI E LA DIFFUSIONE DI QU",2015,ATTIVO,1481474.08,B34H15000010001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"LOBIETTIVO DELLINTERVENTO À IL COMPLETO RIUTILIZZO DELLEDIFICIO DELLA SCUOLA ELEMENTARE S. GIOVANNI BOSCO DI VIA VERDI, ATTUALMENTE EVACUATA A SEGUITO DI ALCUNE SOSPETTE CRITICITÀ STRUTTURALI.",2015,ATTIVO,1090000.00,B34H15000000006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"LOBIETTIVO DELLINTERVENTO À IL COMPLETO RIUTILIZZO DELLEDIFICIO DELLA SCUOLA ELEMENTARE S. GIOVANNI BOSCO DI VIA VERDI, ATTUALMENTE EVACUATA A SEGUITO DI ALCUNE SOSPETTE CRITICITÀ STRUTTURALI.",2015,ATTIVO,925433.75,B34H15000000006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"CON TALE INTERVENTO SI RIQUALIFICA COMPIUTAMENTE ANCHE LA SPONDA IN DESTRA IDRAULICA DEL FIUME BASENTO, OTTIMIZZANDO LA REALIZZAZIONE DEL PARCO FLUVIALE LUNG",2015,ATTIVO,750000.00,B35I15000000001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"IL PROGETTO INTERVIENE SULLACCESSIBILITÀ PEDONALE AL CENTRO, RIQUALIFICANDO LE SCALINATE SELEZIONATE O PER LA LORO RILEVANZA RISPETTO ALLA RETE PEDONALE CITTADINA O PER LA CONDIZI",2015,ATTIVO,624454.18,B37H15000020005,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"LA PROPOSTA PREVEDE INTERVENTI CHE AGISCANO SIA IN TERMINI DI RIDUZIONE DELLE DISPERSIONI TERMICHE, SIA IN TERMINI DI MIGLIORAMENTO DELLE PRESTAZIONI DEGLI IMPIANTI, PROCEDENDO AD UN",2015,ATTIVO,615000.00,B34H15000030001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
IL PROGETTO CONSISTE ESSENZIALMENTE NELLA INSTALLAZIONE DI UN DISPOSITIVO DI CLIMATIZZAZIONE E DEUMIDIFICAZIONE MULTIFUNZIONALE NONCHÀ NELLA REALIZZAZIONE DI INTERVENTI ATTI A DOTARE LA STESSA DI SPO,2015,ATTIVO,422044.08,B34H15000040001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"LA PROPOSTA PREVEDE INTERVENTI CHE AGISCANO SIA IN TERMINI DI RIDUZIONE DELLE DISPERSIONI TERMICHE, SIA IN TERMINI DI MIGLIORAMENTO DELLE PRESTAZIONI DEGLI IMPIANTI, PROCEDENDO AD UN",2015,ATTIVO,408917.75,B34H15000030001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"GLI INTERVENTI RIGUARDANO PRIORITARIAMENTE IL RIFACIMENTO E LA MESSA A NORMA DEGLI IMPIANTI (ELETTRICO, DI RISCALDAMENTO E DI ILLUMINAZIONE ESTERNA ED INTERNA), ANCHE AI FINI DELLABBATTIMENTO DEI C",2015,ATTIVO,372733.37,B34H15000020001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
